instance_type,physical_processor,vcpu,memory,gpu,gpu_memory
a1.2xlarge,AWS Graviton Processor,8.0,16.0,0.0,0.0
a1.4xlarge,AWS Graviton Processor,16.0,32.0,0.0,0.0
a1.large,AWS Graviton Processor,2.0,4.0,0.0,0.0
a1.medium,AWS Graviton Processor,1.0,2.0,0.0,0.0
a1.metal,AWS Graviton Processor,16.0,32.0,0.0,0.0
a1.xlarge,AWS Graviton Processor,4.0,8.0,0.0,0.0
c1.medium,Intel Xeon Family,2.0,1.7,0.0,0.0
c1.xlarge,Intel Xeon Family,8.0,7.0,0.0,0.0
c3.2xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),8.0,15.0,0.0,0.0
c3.4xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),16.0,30.0,0.0,0.0
c3.8xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),32.0,60.0,0.0,0.0
c3.large,Intel Xeon E5-2680 v2 (Ivy Bridge),2.0,3.75,0.0,0.0
c3.xlarge,Intel Xeon E5-2680 v2 (Ivy Bridge),4.0,7.5,0.0,0.0
c4.2xlarge,Intel Xeon E5-2666 v3 (Haswell),8.0,15.0,0.0,0.0
c4.4xlarge,Intel Xeon E5-2666 v3 (Haswell),16.0,30.0,0.0,0.0
c4.8xlarge,Intel Xeon E5-2666 v3 (Haswell),36.0,60.0,0.0,0.0
c4.large,Intel Xeon E5-2666 v3 (Haswell),2.0,3.75,0.0,0.0
c4.xlarge,Intel Xeon E5-2666 v3 (Haswell),4.0,7.5,0.0,0.0
c5.12xlarge,Intel Xeon Platinum 8275L,48.0,96.0,0.0,0.0
c5.18xlarge,Intel Xeon Platinum 8124M,72.0,144.0,0.0,0.0
c5.24xlarge,Intel Xeon Platinum 8275L,96.0,192.0,0.0,0.0
c5.2xlarge,Intel Xeon Platinum 8124M,8.0,16.0,0.0,0.0
c5.4xlarge,Intel Xeon Platinum 8124M,16.0,32.0,0.0,0.0
c5.9xlarge,Intel Xeon Platinum 8124M,36.0,72.0,0.0,0.0
c5.large,Intel Xeon Platinum 8124M,2.0,4.0,0.0,0.0
c5.metal,Intel Xeon Platinum 8275L,96.0,192.0,0.0,0.0
c5.xlarge,Intel Xeon Platinum 8124M,4.0,8.0,0.0,0.0
c5a.12xlarge,AMD EPYC 7R32,48.0,96.0,0.0,0.0
c5a.16xlarge,AMD EPYC 7R32,64.0,128.0,0.0,0.0
c5a.24xlarge,AMD EPYC 7R32,96.0,192.0,0.0,0.0
c5a.2xlarge,AMD EPYC 7R32,8.0,16.0,0.0,0.0
c5a.4xlarge,AMD EPYC 7R32,16.0,32.0,0.0,0.0
c5a.8xlarge,AMD EPYC 7R32,32.0,64.0,0.0,0.0
c5a.large,AMD EPYC 7R32,2.0,4.0,0.0,0.0
c5a.xlarge,AMD EPYC 7R32,4.0,8.0,0.0,0.0
c5ad.12xlarge,AMD EPYC 7R32,48.0,96.0,0.0,0.0
c5ad.16xlarge,AMD EPYC 7R32,64.0,128.0,0.0,0.0
c5ad.24xlarge,AMD EPYC 7R32,96.0,192.0,0.0,0.0
c5ad.2xlarge,AMD EPYC 7R32,8.0,16.0,0.0,0.0
c5ad.4xlarge,AMD EPYC 7R32,16.0,32.0,0.0,0.0
c5ad.8xlarge,AMD EPYC 7R32,32.0,64.0,0.0,0.0
c5ad.large,AMD EPYC 7R32,2.0,4.0,0.0,0.0
c5ad.xlarge,AMD EPYC 7R32,4.0,8.0,0.0,0.0
c5d.12xlarge,Intel Xeon Platinum 8275L,48.0,96.0,0.0,0.0
c5d.18xlarge,Intel Xeon Platinum 8124M,72.0,144.0,0.0,0.0
c5d.24xlarge,Intel Xeon Platinum 8275L,96.0,192.0,0.0,0.0
c5d.2xlarge,Intel Xeon Platinum 8124M,8.0,16.0,0.0,0.0
c5d.4xlarge,Intel Xeon Platinum 8124M,16.0,32.0,0.0,0.0
c5d.9xlarge,Intel Xeon Platinum 8124M,36.0,72.0,0.0,0.0
c5d.large,Intel Xeon Platinum 8124M,2.0,4.0,0.0,0.0
c5d.metal,Intel Xeon Platinum 8275L,96.0,192.0,0.0,0.0
c5d.xlarge,Intel Xeon Platinum 8124M,4.0,8.0,0.0,0.0
c5n.18xlarge,Intel Xeon Platinum 8124M,72.0,192.0,0.0,0.0
c5n.2xlarge,Intel Xeon Platinum 8124M,8.0,21.0,0.0,0.0
c5n.4xlarge,Intel Xeon Platinum 8124M,16.0,42.0,0.0,0.0
c5n.9xlarge,Intel Xeon Platinum 8124M,36.0,96.0,0.0,0.0
c5n.large,Intel Xeon Platinum 8124M,2.0,5.25,0.0,0.0
c5n.metal,Intel Xeon Platinum 8124M,72.0,192.0,0.0,0.0
c5n.xlarge,Intel Xeon Platinum 8124M,4.0,10.5,0.0,0.0
c6a.12xlarge,AMD EPYC 7R13 Processor,48.0,96.0,0.0,0.0
c6a.16xlarge,AMD EPYC 7R13 Processor,64.0,128.0,0.0,0.0
c6a.24xlarge,AMD EPYC 7R13 Processor,96.0,192.0,0.0,0.0
c6a.2xlarge,AMD EPYC 7R13 Processor,8.0,16.0,0.0,0.0
c6a.32xlarge,AMD EPYC 7R13 Processor,128.0,256.0,0.0,0.0
c6a.48xlarge,AMD EPYC 7R13 Processor,192.0,384.0,0.0,0.0
c6a.4xlarge,AMD EPYC 7R13 Processor,16.0,32.0,0.0,0.0
c6a.8xlarge,AMD EPYC 7R13 Processor,32.0,64.0,0.0,0.0
c6a.large,AMD EPYC 7R13 Processor,2.0,4.0,0.0,0.0
c6a.metal,AMD EPYC 7R13 Processor,192.0,384.0,0.0,0.0
c6a.xlarge,AMD EPYC 7R13 Processor,4.0,8.0,0.0,0.0
c6g.12xlarge,AWS Graviton2 Processor,48.0,96.0,0.0,0.0
c6g.16xlarge,AWS Graviton2 Processor,64.0,128.0,0.0,0.0
c6g.2xlarge,AWS Graviton2 Processor,8.0,16.0,0.0,0.0
c6g.4xlarge,AWS Graviton2 Processor,16.0,32.0,0.0,0.0
c6g.8xlarge,AWS Graviton2 Processor,32.0,64.0,0.0,0.0
c6g.large,AWS Graviton2 Processor,2.0,4.0,0.0,0.0
c6g.medium,AWS Graviton2 Processor,1.0,2.0,0.0,0.0
c6g.metal,AWS Graviton2 Processor,64.0,128.0,0.0,0.0
c6g.xlarge,AWS Graviton2 Processor,4.0,8.0,0.0,0.0
c6gd.12xlarge,AWS Graviton2 Processor,48.0,96.0,0.0,0.0
c6gd.16xlarge,AWS Graviton2 Processor,64.0,128.0,0.0,0.0
c6gd.2xlarge,AWS Graviton2 Processor,8.0,16.0,0.0,0.0
c6gd.4xlarge,AWS Graviton2 Processor,16.0,32.0,0.0,0.0
c6gd.8xlarge,AWS Graviton2 Processor,32.0,64.0,0.0,0.0
c6gd.large,AWS Graviton2 Processor,2.0,4.0,0.0,0.0
c6gd.medium,AWS Graviton2 Processor,1.0,2.0,0.0,0.0
c6gd.metal,AWS Graviton2 Processor,64.0,128.0,0.0,0.0
c6gd.xlarge,AWS Graviton2 Processor,4.0,8.0,0.0,0.0
c6gn.12xlarge,AWS Graviton2 Processor,48.0,96.0,0.0,0.0
c6gn.16xlarge,AWS Graviton2 Processor,64.0,128.0,0.0,0.0
c6gn.2xlarge,AWS Graviton2 Processor,8.0,16.0,0.0,0.0
c6gn.4xlarge,AWS Graviton2 Processor,16.0,32.0,0.0,0.0
c6gn.8xlarge,AWS Graviton2 Processor,32.0,64.0,0.0,0.0
c6gn.large,AWS Graviton2 Processor,2.0,4.0,0.0,0.0
c6gn.medium,AWS Graviton2 Processor,1.0,2.0,0.0,0.0
c6gn.metal,AWS Graviton2 Processor,64.0,128.0,0.0,0.0
c6gn.xlarge,AWS Graviton2 Processor,4.0,8.0,0.0,0.0
c6i.12xlarge,Intel Xeon 8375C (Ice Lake),48.0,96.0,0.0,0.0
c6i.16xlarge,Intel Xeon 8375C (Ice Lake),64.0,128.0,0.0,0.0
c6i.24xlarge,Intel Xeon 8375C (Ice Lake),96.0,192.0,0.0,0.0
c6i.2xlarge,Intel Xeon 8375C (Ice Lake),8.0,16.0,0.0,0.0
c6i.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,256.0,0.0,0.0
c6i.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,32.0,0.0,0.0
c6i.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,64.0,0.0,0.0
c6i.large,Intel Xeon 8375C (Ice Lake),2.0,4.0,0.0,0.0
c6i.metal,Intel Xeon 8375C (Ice Lake),128.0,256.0,0.0,0.0
c6i.xlarge,Intel Xeon 8375C (Ice Lake),4.0,8.0,0.0,0.0
c6id.12xlarge,Intel Xeon 8375C (Ice Lake),48.0,96.0,0.0,0.0
c6id.16xlarge,Intel Xeon 8375C (Ice Lake),64.0,128.0,0.0,0.0
c6id.24xlarge,Intel Xeon 8375C (Ice Lake),96.0,192.0,0.0,0.0
c6id.2xlarge,Intel Xeon 8375C (Ice Lake),8.0,16.0,0.0,0.0
c6id.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,256.0,0.0,0.0
c6id.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,32.0,0.0,0.0
c6id.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,64.0,0.0,0.0
c6id.large,Intel Xeon 8375C (Ice Lake),2.0,4.0,0.0,0.0
c6id.metal,Intel Xeon 8375C (Ice Lake),128.0,256.0,0.0,0.0
c6id.xlarge,Intel Xeon 8375C (Ice Lake),4.0,8.0,0.0,0.0
c6in.12xlarge,Intel Xeon 8375C (Ice Lake),48.0,96.0,0.0,0.0
c6in.16xlarge,Intel Xeon 8375C (Ice Lake),64.0,128.0,0.0,0.0
c6in.24xlarge,Intel Xeon 8375C (Ice Lake),96.0,192.0,0.0,0.0
c6in.2xlarge,Intel Xeon 8375C (Ice Lake),8.0,16.0,0.0,0.0
c6in.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,256.0,0.0,0.0
c6in.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,32.0,0.0,0.0
c6in.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,64.0,0.0,0.0
c6in.large,Intel Xeon 8375C (Ice Lake),2.0,4.0,0.0,0.0
c6in.metal,Intel Xeon 8375C (Ice Lake),128.0,256.0,0.0,0.0
c6in.xlarge,Intel Xeon 8375C (Ice Lake),4.0,8.0,0.0,0.0
c7a.12xlarge,AMD EPYC 9R14 Processor,48.0,96.0,0.0,0.0
c7a.16xlarge,AMD EPYC 9R14 Processor,64.0,128.0,0.0,0.0
c7a.24xlarge,AMD EPYC 9R14 Processor,96.0,192.0,0.0,0.0
c7a.2xlarge,AMD EPYC 9R14 Processor,8.0,16.0,0.0,0.0
c7a.32xlarge,AMD EPYC 9R14 Processor,128.0,256.0,0.0,0.0
c7a.48xlarge,AMD EPYC 9R14 Processor,192.0,384.0,0.0,0.0
c7a.4xlarge,AMD EPYC 9R14 Processor,16.0,32.0,0.0,0.0
c7a.8xlarge,AMD EPYC 9R14 Processor,32.0,64.0,0.0,0.0
c7a.large,AMD EPYC 9R14 Processor,2.0,4.0,0.0,0.0
c7a.medium,AMD EPYC 9R14 Processor,1.0,2.0,0.0,0.0
c7a.metal-48xl,AMD EPYC 9R14 Processor,192.0,384.0,0.0,0.0
c7a.xlarge,AMD EPYC 9R14 Processor,4.0,8.0,0.0,0.0
c7g.12xlarge,AWS Graviton3 Processor,48.0,96.0,0.0,0.0
c7g.16xlarge,AWS Graviton3 Processor,64.0,128.0,0.0,0.0
c7g.2xlarge,AWS Graviton3 Processor,8.0,16.0,0.0,0.0
c7g.4xlarge,AWS Graviton3 Processor,16.0,32.0,0.0,0.0
c7g.8xlarge,AWS Graviton3 Processor,32.0,64.0,0.0,0.0
c7g.large,AWS Graviton3 Processor,2.0,4.0,0.0,0.0
c7g.medium,AWS Graviton3 Processor,1.0,2.0,0.0,0.0
c7g.metal,AWS Graviton3 Processor,64.0,128.0,0.0,0.0
c7g.xlarge,AWS Graviton3 Processor,4.0,8.0,0.0,0.0
c7gd.12xlarge,AWS Graviton3 Processor,48.0,96.0,0.0,0.0
c7gd.16xlarge,AWS Graviton3 Processor,64.0,128.0,0.0,0.0
c7gd.2xlarge,AWS Graviton3 Processor,8.0,16.0,0.0,0.0
c7gd.4xlarge,AWS Graviton3 Processor,16.0,32.0,0.0,0.0
c7gd.8xlarge,AWS Graviton3 Processor,32.0,64.0,0.0,0.0
c7gd.large,AWS Graviton3 Processor,2.0,4.0,0.0,0.0
c7gd.medium,AWS Graviton3 Processor,1.0,2.0,0.0,0.0
c7gd.metal,AWS Graviton3 Processor,64.0,128.0,0.0,0.0
c7gd.xlarge,AWS Graviton3 Processor,4.0,8.0,0.0,0.0
c7gn.12xlarge,AWS Graviton3 Processor,48.0,96.0,0.0,0.0
c7gn.16xlarge,AWS Graviton3 Processor,64.0,128.0,0.0,0.0
c7gn.2xlarge,AWS Graviton3 Processor,8.0,16.0,0.0,0.0
c7gn.4xlarge,AWS Graviton3 Processor,16.0,32.0,0.0,0.0
c7gn.8xlarge,AWS Graviton3 Processor,32.0,64.0,0.0,0.0
c7gn.large,AWS Graviton3 Processor,2.0,4.0,0.0,0.0
c7gn.medium,AWS Graviton3 Processor,1.0,2.0,0.0,0.0
c7gn.metal,AWS Graviton3 Processor,64.0,128.0,0.0,0.0
c7gn.xlarge,AWS Graviton3 Processor,4.0,8.0,0.0,0.0
c7i-flex.12xlarge,Intel Xeon Scalable (Sapphire Rapids),48.0,96.0,0.0,0.0
c7i-flex.16xlarge,Intel Xeon Scalable (Sapphire Rapids),64.0,128.0,0.0,0.0
c7i-flex.2xlarge,Intel Xeon Scalable (Sapphire Rapids),8.0,16.0,0.0,0.0
c7i-flex.4xlarge,Intel Xeon Scalable (Sapphire Rapids),16.0,32.0,0.0,0.0
c7i-flex.8xlarge,Intel Xeon Scalable (Sapphire Rapids),32.0,64.0,0.0,0.0
c7i-flex.large,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,0.0,0.0
c7i-flex.xlarge,Intel Xeon Scalable (Sapphire Rapids),4.0,8.0,0.0,0.0
c7i.12xlarge,Intel Xeon Scalable (Sapphire Rapids),48.0,96.0,0.0,0.0
c7i.16xlarge,Intel Xeon Scalable (Sapphire Rapids),64.0,128.0,0.0,0.0
c7i.24xlarge,Intel Xeon Scalable (Sapphire Rapids),96.0,192.0,0.0,0.0
c7i.2xlarge,Intel Xeon Scalable (Sapphire Rapids),8.0,16.0,0.0,0.0
c7i.48xlarge,Intel Xeon Scalable (Sapphire Rapids),192.0,384.0,0.0,0.0
c7i.4xlarge,Intel Xeon Scalable (Sapphire Rapids),16.0,32.0,0.0,0.0
c7i.8xlarge,Intel Xeon Scalable (Sapphire Rapids),32.0,64.0,0.0,0.0
c7i.large,Intel Xeon Scalable (Sapphire Rapids),2.0,4.0,0.0,0.0
c7i.metal-24xl,Intel Xeon Scalable (Sapphire Rapids),96.0,192.0,0.0,0.0
c7i.metal-48xl,Intel Xeon Scalable (Sapphire Rapids),192.0,384.0,0.0,0.0
c7i.xlarge,Intel Xeon Scalable (Sapphire Rapids),4.0,8.0,0.0,0.0
c8g.12xlarge,AWS Graviton4 Processor,48.0,96.0,0.0,0.0
c8g.16xlarge,AWS Graviton4 Processor,64.0,128.0,0.0,0.0
c8g.24xlarge,AWS Graviton4 Processor,96.0,192.0,0.0,0.0
c8g.2xlarge,AWS Graviton4 Processor,8.0,16.0,0.0,0.0
c8g.48xlarge,AWS Graviton4 Processor,192.0,384.0,0.0,0.0
c8g.4xlarge,AWS Graviton4 Processor,16.0,32.0,0.0,0.0
c8g.8xlarge,AWS Graviton4 Processor,32.0,64.0,0.0,0.0
c8g.large,AWS Graviton4 Processor,2.0,4.0,0.0,0.0
c8g.medium,AWS Graviton4 Processor,1.0,2.0,0.0,0.0
c8g.metal-24xl,AWS Graviton4 Processor,96.0,192.0,0.0,0.0
c8g.metal-48xl,AWS Graviton4 Processor,192.0,384.0,0.0,0.0
c8g.xlarge,AWS Graviton4 Processor,4.0,8.0,0.0,0.0
cc2.8xlarge,Intel Xeon E5-2670,32.0,60.5,0.0,0.0
cr1.8xlarge,Intel Xeon E5-2670,32.0,244.0,0.0,0.0
d2.2xlarge,Intel Xeon E5-2676 v3 (Haswell),8.0,61.0,0.0,0.0
d2.4xlarge,Intel Xeon E5-2676 v3 (Haswell),16.0,122.0,0.0,0.0
d2.8xlarge,Intel Xeon E5-2676 v3 (Haswell),36.0,244.0,0.0,0.0
d2.xlarge,Intel Xeon E5-2676 v3 (Haswell),4.0,30.5,0.0,0.0
d3.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),8.0,64.0,0.0,0.0
d3.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),16.0,128.0,0.0,0.0
d3.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),32.0,256.0,0.0,0.0
d3.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),4.0,32.0,0.0,0.0
d3en.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),48.0,192.0,0.0,0.0
d3en.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),8.0,32.0,0.0,0.0
d3en.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),16.0,64.0,0.0,0.0
d3en.6xlarge,Intel Xeon Platinum 8259 (Cascade Lake),24.0,96.0,0.0,0.0
d3en.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),32.0,128.0,0.0,0.0
d3en.large,Intel Xeon Platinum 8259 (Cascade Lake),2.0,8.0,0.0,0.0
d3en.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),4.0,16.0,0.0,0.0
dl1.24xlarge,Intel Xeon Platinum 8275L,96.0,768.0,0.0,0.0
dl2q.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,0.0,128.0
f1.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64.0,976.0,0.0,0.0
f1.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),8.0,122.0,0.0,0.0
f1.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),16.0,244.0,0.0,0.0
f2.12xlarge,AMD EPYC 7R13 Processor,48.0,512.0,0.0,0.0
f2.48xlarge,AMD EPYC 7R13 Processor,192.0,2048.0,0.0,0.0
f2.6xlarge,AMD EPYC 7R13 Processor,24.0,256.0,0.0,0.0
g2.2xlarge,Intel Xeon E5-2670 (Sandy Bridge),8.0,15.0,1.0,0.0
g2.8xlarge,Intel Xeon E5-2670 (Sandy Bridge),32.0,60.0,4.0,0.0
g3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64.0,488.0,4.0,32.0
g3.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),16.0,122.0,1.0,8.0
g3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),32.0,244.0,2.0,16.0
g3s.xlarge,Intel Xeon E5-2686 v4 (Broadwell),4.0,30.5,1.0,8.0
g4ad.16xlarge,AMD EPYC 7R32,64.0,256.0,4.0,32.0
g4ad.2xlarge,AMD EPYC 7R32,8.0,32.0,1.0,8.0
g4ad.4xlarge,AMD EPYC 7R32,16.0,64.0,1.0,8.0
g4ad.8xlarge,AMD EPYC 7R32,32.0,128.0,2.0,16.0
g4ad.xlarge,AMD EPYC 7R32,4.0,16.0,1.0,8.0
g4dn.12xlarge,Intel Xeon Family,48.0,192.0,4.0,64.0
g4dn.16xlarge,Intel Xeon Family,64.0,256.0,1.0,16.0
g4dn.2xlarge,Intel Xeon Family,8.0,32.0,1.0,16.0
g4dn.4xlarge,Intel Xeon Family,16.0,64.0,1.0,16.0
g4dn.8xlarge,Intel Xeon Family,32.0,128.0,1.0,16.0
g4dn.metal,Intel Xeon Family,96.0,384.0,8.0,128.0
g4dn.xlarge,Intel Xeon Family,4.0,16.0,1.0,16.0
g5.12xlarge,AMD EPYC 7R32,48.0,192.0,4.0,96.0
g5.16xlarge,AMD EPYC 7R32,64.0,256.0,1.0,24.0
g5.24xlarge,AMD EPYC 7R32,96.0,384.0,4.0,96.0
g5.2xlarge,AMD EPYC 7R32,8.0,32.0,1.0,24.0
g5.48xlarge,AMD EPYC 7R32,192.0,768.0,8.0,192.0
g5.4xlarge,AMD EPYC 7R32,16.0,64.0,1.0,24.0
g5.8xlarge,AMD EPYC 7R32,32.0,128.0,1.0,24.0
g5.xlarge,AMD EPYC 7R32,4.0,16.0,1.0,24.0
g5g.16xlarge,AWS Graviton2 Processor,64.0,128.0,2.0,32.0
g5g.2xlarge,AWS Graviton2 Processor,8.0,16.0,1.0,16.0
g5g.4xlarge,AWS Graviton2 Processor,16.0,32.0,1.0,16.0
g5g.8xlarge,AWS Graviton2 Processor,32.0,64.0,1.0,16.0
g5g.metal,AWS Graviton2 Processor,64.0,128.0,2.0,32.0
g5g.xlarge,AWS Graviton2 Processor,4.0,8.0,1.0,16.0
g6.12xlarge,AMD EPYC 7R13 Processor,48.0,192.0,4.0,96.0
g6.16xlarge,AMD EPYC 7R13 Processor,64.0,256.0,1.0,24.0
g6.24xlarge,AMD EPYC 7R13 Processor,96.0,384.0,4.0,96.0
g6.2xlarge,AMD EPYC 7R13 Processor,8.0,32.0,1.0,24.0
g6.48xlarge,AMD EPYC 7R13 Processor,192.0,768.0,8.0,192.0
g6.4xlarge,AMD EPYC 7R13 Processor,16.0,64.0,1.0,24.0
g6.8xlarge,AMD EPYC 7R13 Processor,32.0,128.0,1.0,24.0
g6.xlarge,AMD EPYC 7R13 Processor,4.0,16.0,1.0,24.0
g6e.12xlarge,AMD EPYC 7R13 Processor,48.0,384.0,4.0,192.0
g6e.16xlarge,AMD EPYC 7R13 Processor,64.0,512.0,1.0,48.0
g6e.24xlarge,AMD EPYC 7R13 Processor,96.0,768.0,4.0,192.0
g6e.2xlarge,AMD EPYC 7R13 Processor,8.0,64.0,1.0,48.0
g6e.48xlarge,AMD EPYC 7R13 Processor,192.0,1536.0,8.0,384.0
g6e.4xlarge,AMD EPYC 7R13 Processor,16.0,128.0,1.0,48.0
g6e.8xlarge,AMD EPYC 7R13 Processor,32.0,256.0,1.0,48.0
g6e.xlarge,AMD EPYC 7R13 Processor,4.0,32.0,1.0,48.0
gr6.4xlarge,AMD EPYC 7R32,16.0,128.0,1.0,24.0
gr6.8xlarge,AMD EPYC 7R32,32.0,256.0,1.0,24.0
h1.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64.0,256.0,0.0,0.0
h1.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),8.0,32.0,0.0,0.0
h1.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),16.0,64.0,0.0,0.0
h1.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),32.0,128.0,0.0,0.0
hpc6a.48xlarge,AMD EPYC 7R13 Processor,96.0,384.0,0.0,0.0
hpc6id.32xlarge,Intel Xeon Scalable (Icelake),64.0,1024.0,0.0,0.0
hpc7a.12xlarge,AMD EPYC 9R14 Processor,24.0,768.0,0.0,0.0
hpc7a.24xlarge,AMD EPYC 9R14 Processor,48.0,768.0,0.0,0.0
hpc7a.48xlarge,AMD EPYC 9R14 Processor,96.0,768.0,0.0,0.0
hpc7a.96xlarge,AMD EPYC 9R14 Processor,192.0,768.0,0.0,0.0
hpc7g.16xlarge,AWS Graviton3 Processor,64.0,128.0,0.0,0.0
hpc7g.4xlarge,AWS Graviton3 Processor,16.0,128.0,0.0,0.0
hpc7g.8xlarge,AWS Graviton3 Processor,32.0,128.0,0.0,0.0
hs1.8xlarge,Intel Xeon E5-2650,16.0,117.0,0.0,0.0
i2.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),8.0,61.0,0.0,0.0
i2.4xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),16.0,122.0,0.0,0.0
i2.8xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),32.0,244.0,0.0,0.0
i2.large,Intel Xeon E5-2670 v2 (Ivy Bridge),2.0,15.0,0.0,0.0
i2.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),4.0,30.5,0.0,0.0
i3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64.0,488.0,0.0,0.0
i3.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),8.0,61.0,0.0,0.0
i3.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),16.0,122.0,0.0,0.0
i3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),32.0,244.0,0.0,0.0
i3.large,Intel Xeon E5-2686 v4 (Broadwell),2.0,15.25,0.0,0.0
i3.metal,Intel Xeon E5-2686 v4 (Broadwell),72.0,512.0,0.0,0.0
i3.xlarge,Intel Xeon E5-2686 v4 (Broadwell),4.0,30.5,0.0,0.0
i3en.12xlarge,Intel Xeon Platinum 8175,48.0,384.0,0.0,0.0
i3en.24xlarge,Intel Xeon Platinum 8175,96.0,768.0,0.0,0.0
i3en.2xlarge,Intel Xeon Platinum 8175,8.0,64.0,0.0,0.0
i3en.3xlarge,Intel Xeon Platinum 8175,12.0,96.0,0.0,0.0
i3en.6xlarge,Intel Xeon Platinum 8175,24.0,192.0,0.0,0.0
i3en.large,Intel Xeon Platinum 8175,2.0,16.0,0.0,0.0
i3en.metal,Intel Xeon Platinum 8175,96.0,768.0,0.0,0.0
i3en.xlarge,Intel Xeon Platinum 8175,4.0,32.0,0.0,0.0
